Title,Description,Price,Rating,Reviews,URL
HP 23.8 inch Full HD LED Backlit IPS Panel Monitor (24es),Panel Type: IPS Panel; Screen Resolution Type: Full HD; VGA Support | HDMI; Brightness: 250 nits; Response Time: 7 ms | Refresh Rate: 60 Hz; HDMI Ports - 1; 3 Years Onsite Warranty,"₹10,999","1,803 Ratings",325 Reviews,https://www.flipkart.com/hp-23-8-inch-full-hd-led-backlit-ips-panel-monitor-24es/p/itm5613f46e3d8db?pid=MONEQFE5PQNQHHZF&lid=LSTMONEQFE5PQNQHHZFESEDRU&marketplace=FLIPKART&srno=s_1_11&otracker=search&fm=organic&iid=ceb86ece-7f2e-43ca-a852-a3817138cb71.MONEQFE5PQNQHHZF.SEARCH&ssid=2crv6qbpo00000001604940576824&qH=08b5411f848a2581
LG 24 inch Full HD LED Backlit IPS Panel Monitor (24MK600M),Panel Type: IPS Panel; Screen Resolution Type: Full HD; VGA Support | HDMI; DVI; Brightness: 250 nits; Response Time: 5 ms | Refresh Rate: 75 Hz; HDMI Ports - 2; 3 Years Warranty,"₹9,499","1,079 Ratings",213 Reviews,https://www.flipkart.com/lg-24-inch-full-hd-led-backlit-ips-panel-monitor-24mk600m/p/itmfb6jq2jgffrtj?pid=MONFB6JQFJEP7BZX&lid=LSTMONFB6JQFJEP7BZXOQNLTK&marketplace=FLIPKART&srno=s_1_12&otracker=search&fm=organic&iid=ceb86ece-7f2e-43ca-a852-a3817138cb71.MONFB6JQFJEP7BZX.SEARCH&ssid=2crv6qbpo00000001604940576824&qH=08b5411f848a2581
HP 21.5 inch Full HD LED Backlit IPS Panel Gaming Monitor (22F),Panel Type: IPS Panel; Screen Resolution Type: Full HD; VGA Support | HDMI; Brightness: 300 nits; Response Time: 5 ms | Refresh Rate: 75 Hz; HDMI Ports - 1; 3 Years,"₹8,990",530 Ratings,95 Reviews,https://www.flipkart.com/hp-21-5-inch-full-hd-led-backlit-ips-panel-gaming-monitor-22f/p/itmf4xcdxcpuzsq2?pid=MONF4X7GGURDUV2B&lid=LSTMONF4X7GGURDUV2B3VD49X&marketplace=FLIPKART&srno=s_1_13&otracker=search&fm=organic&iid=ceb86ece-7f2e-43ca-a852-a3817138cb71.MONF4X7GGURDUV2B.SEARCH&ssid=2crv6qbpo00000001604940576824&qH=08b5411f848a2581
HP 22 inch Full HD TN Panel Monitor (22y),Panel Type: TN Panel; Screen Resolution Type: Full HD; VGA Support; DVI; Brightness: 250 nits; Response Time: 5 ms | Refresh Rate: 60 Hz; 3 Year Limited Warranty,"₹5,499",405 Ratings,58 Reviews,https://www.flipkart.com/hp-22-inch-full-hd-tn-panel-monitor-22y/p/itmfh88rqpkm6h3n?pid=MONFH88RBT982HWF&lid=LSTMONFH88RBT982HWF36SHBC&marketplace=FLIPKART&srno=s_1_14&otracker=search&fm=organic&iid=ceb86ece-7f2e-43ca-a852-a3817138cb71.MONFH88RBT982HWF.SEARCH&ssid=2crv6qbpo00000001604940576824&qH=08b5411f848a2581
LG 24 inch Full HD LED Backlit IPS Panel Monitor (24MP88HV-SB.ATRLMVN),Panel Type: IPS Panel; Screen Resolution Type: Full HD; Brightness: 250 nits; Response Time: 5 ms | Refresh Rate: 75 Hz; HDMI Ports - 2; 3 Years Onsite Warranty,"₹12,499",506 Ratings,112 Reviews,https://www.flipkart.com/lg-24-inch-full-hd-led-backlit-ips-panel-monitor-24mp88hv-sb-atrlmvn/p/itmety6msykzsuej?pid=MONETY6C7DTAWWWN&lid=LSTMONETY6C7DTAWWWNONTPER&marketplace=FLIPKART&srno=s_1_15&otracker=search&fm=organic&iid=ceb86ece-7f2e-43ca-a852-a3817138cb71.MONETY6C7DTAWWWN.SEARCH&ssid=2crv6qbpo00000001604940576824&qH=08b5411f848a2581
Acer 23.6 inch Curved Full HD LED Backlit VA Panel Monitor (ED242QR),Panel Type: VA Panel; Screen Resolution Type: Full HD; VGA Support | HDMI; Brightness: 250 nits; Response Time: 4 ms | Refresh Rate: 75 Hz; HDMI Ports - 1; 3 Years Warranty,"₹8,399",170 Ratings,31 Reviews,https://www.flipkart.com/acer-23-6-inch-curved-full-hd-led-backlit-va-panel-monitor-ed242qr/p/itm8a3ae8c52300e?pid=MONFN5NGJTZHRX7D&lid=LSTMONFN5NGJTZHRX7DZKDILI&marketplace=FLIPKART&srno=s_1_16&otracker=search&fm=organic&iid=ceb86ece-7f2e-43ca-a852-a3817138cb71.MONFN5NGJTZHRX7D.SEARCH&ssid=2crv6qbpo00000001604940576824&qH=08b5411f848a2581
Acer 23.8 inch Full HD IPS Panel Monitor (HA240Y),Panel Type: IPS Panel; Screen Resolution Type: Full HD; Brightness: 250 nits; Response Time: 4 ms | Refresh Rate: 75 Hz; HDMI Ports - 1; 3 Years on Site,"₹8,499",261 Ratings,66 Reviews,https://www.flipkart.com/acer-23-8-inch-full-hd-ips-panel-monitor-ha240y/p/itmfbeg6j2gmkhfu?pid=MONFBEG6RFZ4VSA6&lid=LSTMONFBEG6RFZ4VSA6WI2QFH&marketplace=FLIPKART&srno=s_1_17&otracker=search&fm=organic&iid=ceb86ece-7f2e-43ca-a852-a3817138cb71.MONFBEG6RFZ4VSA6.SEARCH&ssid=2crv6qbpo00000001604940576824&qH=08b5411f848a2581
Lenovo 23.8 inch Full HD IPS Panel Monitor (Q24i-10),Panel Type: IPS Panel; Screen Resolution Type: Full HD; VGA Support | HDMI; Brightness: 250 nits; Response Time: 4 ms | Refresh Rate: 75 Hz; HDMI Ports - 1; 3 Years Manufacturer Warranty,"₹11,499",347 Ratings,67 Reviews,https://www.flipkart.com/lenovo-23-8-inch-full-hd-ips-panel-monitor-q24i-10/p/itm27fa69e2e111b?pid=MONFNV4KZRFSQ5WB&lid=LSTMONFNV4KZRFSQ5WBGIBQBN&marketplace=FLIPKART&srno=s_1_18&otracker=search&fm=organic&iid=ceb86ece-7f2e-43ca-a852-a3817138cb71.MONFNV4KZRFSQ5WB.SEARCH&ssid=2crv6qbpo00000001604940576824&qH=08b5411f848a2581
LG 24 inch Full HD LED Backlit IPS Panel Gaming Monitor (24MP59G),Panel Type: IPS Panel; Screen Resolution Type: Full HD; HDMI; DVI; Brightness: 250 nits; Response Time: 1 ms | Refresh Rate: 75 Hz; 3 Year Warranty,"₹8,499",349 Ratings,65 Reviews,https://www.flipkart.com/lg-24-inch-full-hd-led-backlit-ips-panel-gaming-monitor-24mp59g/p/itmew7wfpc2pfgzf?pid=MONEW7WFZ7FWUCXA&lid=LSTMONEW7WFZ7FWUCXAIBGXY1&marketplace=FLIPKART&srno=s_1_19&otracker=search&fm=organic&iid=ceb86ece-7f2e-43ca-a852-a3817138cb71.MONEW7WFZ7FWUCXA.SEARCH&ssid=2crv6qbpo00000001604940576824&qH=08b5411f848a2581
Dell 18.5 inch HD LED Backlit TN Panel Monitor (D1918H),Panel Type: TN Panel; Screen Resolution Type: HD; VGA Support | HDMI; Brightness: 200 nits; Response Time: 5 ms | Refresh Rate: 60 Hz; HDMI Ports - 1; 3 Years Onsite Warranty,"₹5,900","3,216 Ratings",452 Reviews,https://www.flipkart.com/dell-18-5-inch-hd-led-backlit-tn-panel-monitor-d1918h/p/itmewm8z6awyx9rr?pid=MONEWM8ZKY38PWVP&lid=LSTMONEWM8ZKY38PWVPU9A0P5&marketplace=FLIPKART&srno=s_1_20&otracker=search&fm=organic&iid=ceb86ece-7f2e-43ca-a852-a3817138cb71.MONEWM8ZKY38PWVP.SEARCH&ssid=2crv6qbpo00000001604940576824&qH=08b5411f848a2581
